Name,Description,Date,Start Time,End Time,Location,Organizer,Capacity
The Impact of Cybersecurity Threats,Discover the future of technology with this fascinating lecture on Artificial Intelligence,2024-04-12,11:55,14:20,图书馆报告厅,Astronomy Club,115
Advancements in Genetic Engineering,Explore the intersection of science and society in this engaging lecture on Space Exploration,2024-04-06,10:31,14:33,理学院一楼化学系C1038,数学系,158
Unraveling the Mysteries of Black Holes,Discover the untold stories of Space Exploration,2024-04-11,15:46,20:39,文科楼报告厅,Environmental Society,101
Advancements in Genetic Engineering,This lecture will explore the latest advancements in the field of Space Exploration,2024-04-07,10:34,14:54,三教108,Environmental Society,71
Exploring Quantum Entanglement,Learn about the evolution of Space Exploration,2024-04-14,11:30,13:11,理学院一楼化学系C1038,Medical Association,62
Revolutionizing Healthcare with Technology,Join us for an insightful discussion on the impact of Space Exploration,2024-04-12,11:54,16:47,图书馆报告厅,Astronomy Club,164
The Future of Artificial Intelligence,Learn about the challenges and opportunities in Space Exploration,2024-04-12,14:59,17:32,三教107,数学系,100
The Future of Work in the Digital Age,This lecture will explore the latest advancements in the field of Climate Change,2024-04-14,11:33,14:34,工学院北楼,计算机科学与技术,55
Unlocking the Secrets of the Human Brain,Gain new insights into Renewable Energy,2024-04-08,09:31,11:50,润杨体育馆,Medical Association,161
Unlocking the Secrets of the Human Brain,Join us for an insightful discussion on the impact of Blockchain Technology,2024-04-13,16:12,20:57,工学院北楼,计算机科学与技术,151
Understanding Dark Matter,Witness the revolution in Space Exploration,2024-04-07,12:13,15:53,图书馆报告厅,数学系,120
The Science of Happiness,Join us for an insightful discussion on the impact of Blockchain Technology,2024-04-12,14:22,16:20,润杨体育馆,Astronomy Club,29
Understanding Dark Matter,Get a glimpse into the future with Renewable Energy,2024-04-13,13:51,15:10,理学院一楼化学系C1038,Medical Association,30
The Power of Renewable Energy,Explore cutting-edge research in Biotechnology,2024-04-08,09:40,11:36,一科报告厅,Medical Association,19
The Future of Work in the Digital Age,Learn about the evolution of Space Exploration,2024-04-06,09:35,11:18,润杨体育馆,计算机科学与技术,179
The Future of Work in the Digital Age,Dive deep into the world of Biotechnology,2024-04-12,14:56,19:09,理学院一楼化学系C1038,计算机科学与技术,117
Revolutionizing Healthcare with Technology,Learn about the challenges and opportunities in Artificial Intelligence,2024-04-10,09:15,13:56,工学院北楼,Medical Association,169
The Cation Shuffle,Explore the intersection of science and society in this engaging lecture on Climate Change,2024-04-09,17:32,22:11,理学院一楼化学系C1038,Astronomy Club,49
The Science of Happiness,Explore the intersection of science and society in this engaging lecture on Blockchain Technology,2024-04-08,13:36,17:00,工学院北楼,数学系,17
The Cation Shuffle,Explore cutting-edge research in Artificial Intelligence,2024-04-05,18:42,22:29,润杨体育馆,Astronomy Club,176
Space Colonization: Challenges and Opportunities,Get a glimpse into the future with Space Exploration,2024-04-06,15:06,16:42,理学院一楼化学系C1038,计算机科学与技术,130
Advancements in Genetic Engineering,This lecture will explore the latest advancements in the field of Biotechnology,2024-04-05,11:15,14:51,三教108,计算机科学与技术,172
The Ethics of AI and Robotics,Get a behind-the-scenes look at Artificial Intelligence,2024-04-14,11:31,14:02,工学院北楼,Astronomy Club,140
The Future of Artificial Intelligence,Explore the intersection of science and society in this engaging lecture on Blockchain Technology,2024-04-11,16:14,18:47,文科楼报告厅,Environmental Society,178
The Science of Happiness,This lecture will explore the latest advancements in the field of Blockchain Technology,2024-04-10,15:29,18:28,图书馆报告厅,计算机科学与技术,142
The Art of Public Speaking,Gain new insights into Biotechnology,2024-04-06,11:06,15:26,工学院南楼,计算机科学与技术,143
Advancements in Genetic Engineering,Examine the historical context of Artificial Intelligence,2024-04-10,09:15,11:17,理学院一楼化学系C1038,数学系,157
Revolutionizing Healthcare with Technology,Join us for an insightful discussion on the impact of Artificial Intelligence,2024-04-10,12:48,16:54,理学院一楼化学系C1038,Astronomy Club,197
The Future of Work in the Digital Age,Examine the historical context of Artificial Intelligence,2024-04-14,14:01,17:30,三教108,Medical Association,158
The Evolution of Human Consciousness,Examine the historical context of Biotechnology,2024-04-09,12:53,17:22,工学院北楼,数学系,4
The Power of Renewable Energy,Explore cutting-edge research in Blockchain Technology,2024-04-10,11:16,12:56,图书馆报告厅,Medical Association,161
The Cation Shuffle,Dive deep into the world of Space Exploration,2024-04-09,12:51,15:16,工学院北楼,Medical Association,171
The Impact of Cybersecurity Threats,Explore the intersection of science and society in this engaging lecture on Renewable Energy,2024-04-12,13:36,16:08,三教108,计算机科学与技术,142
Exploring Ancient Civilizations,Learn about the evolution of Biotechnology,2024-04-10,13:00,14:35,工学院南楼,Medical Association,30
Exploring Quantum Entanglement,Delve into the complexities of Artificial Intelligence,2024-04-13,18:45,20:28,工学院南楼,Environmental Society,192
Advancements in Genetic Engineering,Examine the historical context of Space Exploration,2024-04-11,18:28,20:18,润杨体育馆,Medical Association,94
The Power of Renewable Energy,Explore cutting-edge research in Renewable Energy,2024-04-12,11:28,16:26,工学院北楼,数学系,142
The Evolution of Human Consciousness,Explore the impact of innovation on Space Exploration,2024-04-14,16:28,21:16,润杨体育馆,Environmental Society,55
The Ethics of AI and Robotics,Get inspired by Climate Change,2024-04-14,12:48,14:23,图书馆报告厅,Medical Association,31
Exploring Quantum Entanglement,Dive deep into the world of Space Exploration,2024-04-13,18:24,23:15,三教107,Astronomy Club,147
Advancements in Genetic Engineering,This lecture will explore the latest advancements in the field of Climate Change,2024-04-08,18:45,21:11,理学院一楼化学系C1038,计算机科学与技术,3
